HourUTC;HourDK;ConnectedArea;SharePPM;ShareMWh
2024-12-30 18:00:00;2024-12-30 19:00:00;SE;15415;104,099777
2024-12-30 18:00:00;2024-12-30 19:00:00;NO2;5403;36,489022
2024-12-30 18:00:00;2024-12-30 19:00:00;DK2;302549;2043,083632
2024-12-30 18:00:00;2024-12-30 19:00:00;DK1;676631;4569,215493
2024-12-30 17:00:00;2024-12-30 18:00:00;SE;25623;180,331384
2024-12-30 17:00:00;2024-12-30 18:00:00;GE;0;0,000000
2024-12-30 17:00:00;2024-12-30 18:00:00;DK1;659644;4642,415860
2024-12-30 17:00:00;2024-12-30 18:00:00;NO2;21800;153,424999
2024-12-30 17:00:00;2024-12-30 18:00:00;NL;0;0,000000
2024-12-30 17:00:00;2024-12-30 18:00:00;DK2;292932;2061,585641
2024-12-30 16:00:00;2024-12-30 17:00:00;DK2;293824;2078,718156
2024-12-30 16:00:00;2024-12-30 17:00:00;NL;0;0,000000
2024-12-30 16:00:00;2024-12-30 17:00:00;GE;0;0,000000
2024-12-30 16:00:00;2024-12-30 17:00:00;SE;14893;105,370166
2024-12-30 16:00:00;2024-12-30 17:00:00;NO2;26562;187,924017
2024-12-30 16:00:00;2024-12-30 17:00:00;DK1;664718;4702,674369
2024-12-30 15:00:00;2024-12-30 16:00:00;DK2;298535;2089,548568
2024-12-30 15:00:00;2024-12-30 16:00:00;NL;0;0,000000
2024-12-30 15:00:00;2024-12-30 16:00:00;GE;0;0,000000
2024-12-30 15:00:00;2024-12-30 16:00:00;SE;8487;59,404327
2024-12-30 15:00:00;2024-12-30 16:00:00;NO2;26497;185,464088
2024-12-30 15:00:00;2024-12-30 16:00:00;DK1;666479;4664,913649
2024-12-30 14:00:00;2024-12-30 15:00:00;NL;0;0,000000
2024-12-30 14:00:00;2024-12-30 15:00:00;GE;0;0,000000
2024-12-30 14:00:00;2024-12-30 15:00:00;SE;8231;56,457419
2024-12-30 14:00:00;2024-12-30 15:00:00;NO2;38837;266,367280
2024-12-30 14:00:00;2024-12-30 15:00:00;DK2;298497;2047,224853
